Razón Social;Dirección
ALVARO VELEZ Y CIA LTDA.;CALLE 90 #13-63
INVERSIONES ALBAIDA S.A.;CALLE 60 A SUR CARRERA 105                                                      
SINCO LTDA S.C.A.                                                                                   ;CRA 5 NO. 30-51
DOW CORNING DE COLOMBIA S.A.;TRANSVERSAL 18 NUMERO 78 80                                                     
RK Y M LTDA Y CIA S.EN C.                                                                           ;CALLE 71 A NO 6-30 PISO 17                                                      
SUMAZARI S.A;PIE DEL CERRO CALLE 30 NO. 17-206
DISTRIBUIDORA CALYPSO BOGOTA LTDA;CALLE 11 35-36                                                        
RUDESCO S.A.;CALLE 98 NO. 22 64 PISO 11
INVERSIONES Y NEGOCIOS S.A.                                                                         ;B/GRANDE CRA.3 EDIF.EJECUTIVO OF.702
PROMOTORA DE PROYECTOS S. A.                                                                        ;CRA 42 A # 1 SUR 16                                         
LINHAMDAN ARBOLEDA & COMPANIA S EN C.;CALLE 103 NO. 23-32
INVERSIONES VIENA S.A.;TRANSVERSAL 3 NO. 56-19                                                         
BEGOLE S.A.;CALLE 22 127 51 IN 4 BG 2 PS 2                                        
SOUTH AMERICAN ENGINEERING INC;CARRERA 8A N. 99-51 TORRE A OFIC.60
DIGALI S.A.;CARRERA 8A NO.99-51 OF.405                                                      
INVERITAKA LTDA;CALLE 83 N0 12-26
CORPORACION DE INVERSIONES Y CONSTRUCCIONES LTDA.                                                   ;CALLE 36 N.17-56 LOCAL 3-2                                                      
GILBERTO HURTADO Y CIA. S.C.A.                                                                      ;CARRERA 5 NO. 30-61
COMPAÑIA COMERCIAL DE MAQUINARIA LTDA;CALLE 17 #43F-122
RESTREPO CASTRO Y CIA S.C.S.;CARRERA 42 NO. 29 A 71                                                
AGROPECUARIA LOS LLANOS LIMITADA;CARRERA 50 NRO 52-22 OF 902
INCUBADORA DEL CENTRO S.A..;CRA 40 NO 105-25                                                                
POLLOS DE SANTANDER POLLOSAN LTDA                                                                   ;CARRERA 17E  59-57
COMPAÑIA AEROFUMIGACIONES CALIMA S A;CARRERA 43 A # 7-50 A OF. 304
INVERSIONES CAMPOAMALIA S.A.;CALLE 8 NRO 43 A 48                                                   
LG INDUSTRIAL SYSTEMS DE COLOMBIA S A;CALLE 23A NO.68 D 46 Z.I. MONTEVIDEO                                  
GRUPO EMPRESARIAL DE INVERSIONES Y CIA LTDA;CL. 94 NO. 21-59                                            
MITSUBISHI CORPORATION SUCURSAL EN COLOMBIA                           ;CALLE 72 No. 10-07 PISO 14
SAPUGA S.A.;CALLE 93 NO 11-19
TINZUQUE LTDA;CARRERA 8A # 123 - 41                                                           
FLORES SAN JUAN S.A. C.I.                                                                           ;CALLE 87 NO. 20-27 OFICINA 202                                                  
SOCIEDAD DE COMERCIALIZACION INTERNACIONAL INDUAGRICOLA LIMITADA      ;CARRERA 20 # 90-12
FLORES HORIZONTE LTDA SOCIEDAD COMERCIALIZADORA                                                     ;CALLE 86 NO.11-14                                                               
TURFIN S.A.                                                           ;AVD.15 # 124 / 49 OFC. 206                                  
CULTIVOS BUENAVISTA LTDA SOCIEDAD COMERCIALIZADORA INTERNACIONAL;CALLE 86 # 11 16
SOCIEDAD DE COMERCIALIZACION INTTERNACIONAL PRODUCTOS EL CARTUCHO S.A.                              ;CALLE 37 N. 16 - 46
CABAL Y CIA LTDA;CARRERA 5 # 12-16 OFICINA 607
DESACOL S.A.                                                                                        ;CARRERA 10 NO.96-25 OF.303                                                      
CONSORCIO DE SERVICIOS INTEGRADOS DE COMERCIO EXTERIOR CONSIMEX S.A.;DIAGONAL 41 NO. 94 51 FONTIBON
COMPAÑIA COMERCIAL EL DORADO LTDA;AVDA SAN MARTIN # 4-41,BOCAGRANDE DE
ITELCA LTDA;CALLE 92 NO 30-25                                                               
DISTRIBUCIONES ARBELAEZ Y SIERRA SURTILINEAS DEL CARIBE Y CIA LTDA    ;CALLE 38A PARQUE INDUSTR BLOQ B BOD.28                                          
LABORATORIOS PAULY PHARMACEUTICAL S.A                                                               ;CARRERA 1 NO. 46-84 PISO 2                                  
PRODUCTOS PARA CUERO PROCUR LTDA;TRANSVERSAL 6 NO. 12-117 Z.IND.CAZUCA                                           
SIMA QUIMICA COLOMBIA S.A.;CARRERA 90 NO. 44 A - 72                                                        
TEXTILES AMERICA LTDA;CALLE 10 N.8-27                                                       
VENTAS INSTITUCIONALES LTDA;CARRERA 86 NO 23-40 SUR                                               
SOLDADURAS MEGRIWELD S A;CALLE 10 NO. 37 A 51                                                  
TEJIDOS LONDRES LTDA;CARRERA 42 #10A-68                                                              
ALMACEN SANITARIO LTDA;CRA.25 NO.13-43
COMPAÑIA COMERCIAL CURACAO DE COLOMBIA S A;CALLE 93 NO.20-45
COMPAÑIA COLOMBIANA DE QUIMICOS S.A.                                  ;CALLE 12 NO. 38 - 62                                                            
TECNO INGENIERIA LTDA;CALLE 72 26-10                                                                  
BOGOFORMA LTDA.;CALLE 14 #15-46
FERRETERIA MULTIALAMBRES LTDA                                                                       ;CARRERA 25 #15-73                                                               
